X,Y,OBJECTID,C_ORD,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,NIV6,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
654944.462524414,6859360.55267334,1,2,12,47,751124706,20,,COUR,SAINT EMILION,1,Produits alimentaires spécialisés régionaux et étrangers,A,CA114,1,,,C
651947.525878906,6862313.64672852,102,121,1,1,751010101,16,,RUE,BERTIN POIREE,1,Supermarché classique,A,CA202,2,,,C
652025.963684082,6862253.02087402,136,160,1,1,751010101,11,,RUE,JEAN LANTIER,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
651200.419311523,6862726.92767334,165,218,1,1,751010104,99,,RUE,RIVOLI,1,Charcuterie - Traiteur - Epicerie fine,CC,CA101,1,3,-2,C
651981.13470459,6862504.09368896,170,474,1,2,751010202,41,,RUE,SAINT HONORE,1,Produits alimentaires bio et circuits courts,R,CA115,1,,,C
651884.520507812,6862562.18731689,178,484,1,2,751010203,2,,RUE,PROUVAIRES,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
651887.58770752,6862570.68450928,179,485,1,2,751010203,4,,RUE,PROUVAIRES,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
651927.521728516,6862547.38848877,182,489,1,2,751010203,40,,RUE,SAINT HONORE,1,Commerce détail de boissons,R,CA111,1,,,C
651888.062072754,6862555.1427002,186,493,1,2,751010203,48,,RUE,SAINT HONORE,1,Vente de fruits et légumes,A,CA108,1,,,C
651200.419311523,6862726.92767334,190,222,1,1,751010104,99,,RUE,RIVOLI,1,Chocolaterie - Confiserie,CC,CA105,1,3,-2,C
652017.346130371,6862233.30267334,260,168,1,1,751010101,24,,AV,VICTORIA,1,Torréfacteur -  Commerce détail  thé et café,A,CA106,1,,,C
652150.679504395,6862435.56811523,288,351,1,2,751010201,7,,RUE,FERRONNERIE,1,Alimentation générale  <120m²,R,CA301,1,,,C
652150.446105957,6862369.46948242,310,375,1,2,751010201,23,,RUE,SAINT DENIS,1,Traiteur asiatique,R,CA102,1,,,C
652113.856079102,6862335.72930908,318,383,1,2,751010201,6,,RUE,HALLES,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652090.110107422,6862332.69769287,329,396,1,2,751010202,5,,RUE,HALLES,1,Traiteur asiatique,R,CA102,1,,,C
652056.679321289,6862391.20648193,342,411,1,2,751010202,11,,RUE,HALLES,1,Alimentation générale  <120m²,R,CA301,1,,,C
652076.691894531,6862402.82232666,354,424,1,2,751010201,14,,RUE,HALLES,1,Commerce détail de boissons,R,CA111,1,,,C
651881.775512695,6862542.44567871,423,526,1,2,751010202,75,,RUE,SAINT HONORE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
651788.862670898,6862459.29492188,436,541,1,2,751010202,142,,RUE,RIVOLI,1,Commerce détail de boissons,R,CA111,1,,,C
651872.289916992,6862613.2310791,476,587,1,2,751010203,33,,RUE,BERGER,1,Traiteur asiatique,R,CA102,1,,,C
651859.465515137,6862617.76751709,477,588,1,2,751010203,35,,RUE,BERGER,1,Supermarché classique,R,CA202,2,,,C
651863.864685059,6862557.68811035,484,595,1,2,751010203,54,,RUE,SAINT HONORE,1,Boucherie - Boucherie-Charcuterie,A,CA109,1,,,C
651821.254272461,6862593.43389893,492,604,1,2,751010203,6,,RUE,VAUVILLIERS,1,Commerce détail de boissons,R,CA111,1,,,C
651796.766723633,6862580.48791504,495,610,1,2,751010203,80,,RUE,SAINT HONORE,1,Produits alimentaires bio et circuits courts,A,CA115,1,,,C
651791.050109863,6862578.9810791,510,611,1,2,751010203,82,,RUE,SAINT HONORE,1,Alimentation générale  <120m²,R,CA301,1,,,C
651760.82232666,6862618.26867676,518,619,1,2,751010203,6,,RUE,SAUVAL,1,Torréfacteur -  Commerce détail  thé et café,R,CA106,1,,,C
651698.203674316,6862661.18469238,529,633,1,2,751010203,38,,RUE,LOUVRE,1,Supérette  classique,A,CA302,2,,,C
651732.91607666,6862594.41070557,531,635,1,2,751010203,102,,RUE,SAINT HONORE,1,Traiteur asiatique,R,CA102,1,,,C
651727.938476562,6862595.64550781,532,636,1,2,751010203,104,,RUE,SAINT HONORE,1,Traiteur asiatique,R,CA102,1,,,C
