,ARRO,NUM,TYP_VOIE,LIB_VOIE,LIBACT,lon,lat
0,12,20,COUR,SAINT EMILION,Produits alimentaires spécialisés régionaux et étrangers,2.38622,48.832724
1,1,16,RUE,BERTIN POIREE,Supermarché classique,2.345061,48.859065
2,1,11,RUE,JEAN LANTIER,Boulangerie - Boulangerie Pâtisserie,2.346137,48.858525
3,1,99,RUE,RIVOLI,Charcuterie - Traiteur - Epicerie fine,2.334832,48.862725
4,1,41,RUE,SAINT HONORE,Produits alimentaires bio et circuits courts,2.345498,48.86078
5,1,2,RUE,PROUVAIRES,Boucherie - Boucherie-Charcuterie,2.344175,48.861295
6,1,4,RUE,PROUVAIRES,Produits alimentaires spécialisés régionaux et étrangers,2.344215,48.861372
7,1,40,RUE,SAINT HONORE,Commerce détail de boissons,2.344655,48.861178
8,1,48,RUE,SAINT HONORE,Vente de fruits et légumes,2.344224,48.861232
9,1,99,RUE,RIVOLI,Chocolaterie - Confiserie,2.334832,48.862725
10,1,24,AV,VICTORIA,Torréfacteur -  Commerce détail  thé et café,2.346022,48.858347
11,1,7,RUE,FERRONNERIE,Alimentation générale  <120m²,2.34787,48.860171
12,1,23,RUE,SAINT DENIS,Traiteur asiatique,2.347821,48.859582
13,1,6,RUE,HALLES,Boulangerie - Boulangerie Pâtisserie,2.345669,48.861001
14,1,5,RUE,HALLES,Traiteur asiatique,2.345669,48.861001
15,1,11,RUE,HALLES,Alimentation générale  <120m²,2.346596,48.859708
16,1,14,RUE,HALLES,Commerce détail de boissons,2.346812,48.859876
17,1,75,RUE,SAINT HONORE,Boulangerie - Boulangerie Pâtisserie,2.344139,48.861117
18,1,142,RUE,RIVOLI,Commerce détail de boissons,2.342882,48.860363
19,1,33,RUE,BERGER,Traiteur asiatique,2.344053,48.861741
20,1,35,RUE,BERGER,Supermarché classique,2.343827,48.861793
21,1,54,RUE,SAINT HONORE,Boucherie - Boucherie-Charcuterie,2.343894,48.861253
22,1,6,RUE,VAUVILLIERS,Commerce détail de boissons,2.343309,48.861571
23,1,80,RUE,SAINT HONORE,Produits alimentaires bio et circuits courts,2.342976,48.861453
24,1,82,RUE,SAINT HONORE,Alimentation générale  <120m²,2.342899,48.861439
25,1,6,RUE,SAUVAL,Torréfacteur -  Commerce détail  thé et café,2.342482,48.86179
26,1,38,RUE,LOUVRE,Supérette  classique,2.341641,48.862206
27,1,102,RUE,SAINT HONORE,Traiteur asiatique,2.342105,48.861574
28,1,104,RUE,SAINT HONORE,Traiteur asiatique,2.342037,48.861584
29,1,41,RUE,ARBRE SEC,Commerce détail de boissons,2.342404,48.861037
30,1,125,RUE,SAINT HONORE,Boulangerie - Boulangerie Pâtisserie,2.341707,48.861529
31,1,129,RUE,SAINT HONORE,Produits alimentaires spécialisés régionaux et étrangers,2.341473,48.861575
32,1,4,RUE,MARENGO,Supérette  classique,2.339466,48.861777
33,1,6,RUE,JEAN JACQUES ROUSSEAU,Boulangerie - Boulangerie Pâtisserie,2.340061,48.862219
34,1,14,RUE,JEAN JACQUES ROUSSEAU,Produits alimentaires spécialisés régionaux et étrangers,2.340537,48.862462
35,1,136,RUE,SAINT HONORE,Pâtisserie,2.340829,48.861871
36,1,140,RUE,SAINT HONORE,Produits alimentaires spécialisés régionaux et étrangers,2.340628,48.8619
37,1,168,RUE,SAINT HONORE,Boulangerie - Boulangerie Pâtisserie,2.339403,48.862248
38,1,5,RUE,COLONEL DRIANT,Crèmerie - Fromagerie,2.340819,48.863191
39,1,33,RUE,COQUILLIERE,Boulangerie - Boulangerie Pâtisserie,2.341243,48.864317
40,1,37,RUE,COQUILLIERE,Commerce détail de boissons,2.340959,48.864444
41,1,39,RUE,COQUILLIERE,Alimentation générale  <120m²,2.340841,48.864497
42,1,8,RUE,BERGER,Glacier : vente à emporter et consommation sur place,2.348366,48.860936
43,1,5,RUE,ETIENNE MARCEL,Commerce détail de boissons,2.350248,48.863467
44,1,131,RUE,SAINT DENIS,Supérette  classique,2.349737,48.863323
45,1,6,RUE,GRANDE TRUANDERIE,Alimentation générale  <120m²,2.349406,48.862737
46,1,78,RUE,RAMBUTEAU,Traiteur asiatique,2.349107,48.8623
47,1,15,RUE,PIERRE LESCOT,Glacier : vente à emporter et consommation sur place,2.348649,48.863038
48,1,5,RUE,TURBIGO,Boulangerie - Boulangerie Pâtisserie,2.3477,48.863662
49,1,20,RUE,MONTORGUEIL,Pâtisserie,2.346444,48.863457
50,1,34,RUE,MONTORGUEIL,Pâtisserie,2.346563,48.86392
51,1,24,RUE,MONTMARTRE,Boucherie - Boucherie-Charcuterie,2.345593,48.864153
52,1,34,RUE,MONTMARTRE,Produits alimentaires spécialisés régionaux et étrangers,2.345403,48.864496
53,1,7,RUE,MONTORGUEIL,Traiteur asiatique,2.346257,48.863477
54,1,9,RUE,MONTORGUEIL,Chocolaterie - Confiserie,2.346308,48.86356
55,1,11,RUE,MONTORGUEIL,Produits alimentaires bio et circuits courts,2.346331,48.863636
56,1,15,RUE,MONTORGUEIL,Torréfacteur -  Commerce détail  thé et café,2.346372,48.863768
57,1,15,RUE,MONTORGUEIL,Chocolaterie - Confiserie,2.346372,48.863768
58,1,21,RUE,MONTORGUEIL,Charcuterie - Traiteur - Epicerie fine,2.346454,48.864019
59,1,21,RUE,MONTORGUEIL,Produits alimentaires spécialisés régionaux et étrangers,2.346454,48.864019
60,1,25,RUE,MONTORGUEIL,Supérette  classique,2.346508,48.864177
61,1,44,RUE,LOUVRE,Supérette  classique,2.342613,48.864082
62,1,32,RUE,COQUILLIERE,Traiteur asiatique,2.341598,48.86427
63,1,1,RUE,PIERRE LESCOT,Pâtisserie,2.347689,48.861212
64,1,1,RUE,PIERRE LESCOT,Monoprix,2.347689,48.861212
