,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
0,17.0,RUE,3.0,14,10.678571,2.325456,48.868446,0.19811320754716982,0.4
1,13.0,RUE,3.0,15,15.100865,2.363265,48.860077,0.0660377358490566,0.03333333333333333
2,13.0,RUE,1.0,15,10.293939,2.363265,48.860077,0.0660377358490566,0.03333333333333333
3,13.0,RUE,1.0,15,13.416666,2.363265,48.860077,0.0660377358490566,0.03333333333333333
4,4.0,RUE,1.0,130,8.846153,2.354921,48.868528,0.3490566037735849,0.26666666666666666
5,4.0,RUE,1.0,130,9.714285,2.354921,48.868528,0.3490566037735849,0.26666666666666666
6,82.0,BD,3.0,21,11.946875,2.314034,48.879896,0.14150943396226415,0.16666666666666666
7,82.0,BD,1.0,21,10.666666,2.314034,48.879896,0.14150943396226415,0.16666666666666666
8,82.0,BD,2.0,21,12.950227,2.314034,48.879896,0.14150943396226415,0.16666666666666666
9,4.0,CITE,2.0,72,11.262222,2.361982,48.86571,0.12264150943396226,0.1
10,79.0,RUE,3.0,60,10.29,2.317605,48.880039,0.49056603773584906,0.6666666666666666
11,13.0,RUE,2.0,51,14.195121,2.365988,48.861078,0.11320754716981132,0.16666666666666666
12,13.0,RUE,3.0,51,13.4,2.365988,48.861078,0.11320754716981132,0.16666666666666666
13,13.0,RUE,4.0,51,10.886333,2.365988,48.861078,0.11320754716981132,0.16666666666666666
14,39.0,RUE,1.0,30,7.142857,2.305705,48.874096,0.07547169811320754,0.06666666666666667
15,39.0,RUE,1.0,30,13.571428,2.305705,48.874096,0.07547169811320754,0.06666666666666667
16,39.0,RUE,1.0,30,8.928571,2.305705,48.874096,0.07547169811320754,0.06666666666666667
17,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667
18,39.0,RUE,1.0,30,11.282142,2.305705,48.874096,0.07547169811320754,0.06666666666666667
19,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667
20,67.0,BD,8.0,32,10.148076,2.301909,48.878708,0.09433962264150944,0.16666666666666666
21,67.0,BD,5.0,32,14.736842,2.301909,48.878708,0.09433962264150944,0.16666666666666666
22,24.0,RUE,2.0,33,29.327272,2.337038,48.865144,0.04716981132075472,0.06666666666666667
23,24.0,RUE,6.0,33,22.55639,2.337038,48.865144,0.04716981132075472,0.06666666666666667
24,24.0,RUE,6.0,33,26.315808,2.337038,48.865144,0.04716981132075472,0.06666666666666667
25,56.0,RUE,1.0,63,11.0,2.337399,48.866547,0.2358490566037736,0.26666666666666666
26,56.0,RUE,2.0,63,17.136363,2.337399,48.866547,0.2358490566037736,0.26666666666666666
27,56.0,RUE,1.0,63,16.391304,2.337399,48.866547,0.2358490566037736,0.26666666666666666
28,170.0,RUE,1.0,110,10.714285,2.361764,48.866457,0.12264150943396226,0.1
29,170.0,RUE,2.0,110,12.540983,2.361764,48.866457,0.12264150943396226,0.1
30,170.0,RUE,3.0,110,10.666666,2.361764,48.866457,0.12264150943396226,0.1
31,170.0,RUE,4.0,110,11.516947,2.361764,48.866457,0.12264150943396226,0.1
32,170.0,RUE,3.0,110,11.584285,2.361764,48.866457,0.12264150943396226,0.1
33,26.0,RUE,3.0,7,10.032,2.345559,48.864215,0.25471698113207547,0.23333333333333334
34,26.0,RUE,2.0,7,5.454545,2.345559,48.864215,0.25471698113207547,0.23333333333333334
35,11.0,BD,1.0,53,9.538461,2.325825,48.882989,0.20754716981132076,0.16666666666666666
36,20.0,QUAI,2.0,100,11.521739,2.343655,48.858292,0.02830188679245283,0.0
37,14.0,RUE,4.0,66,10.25641,2.320487,48.879478,0.08490566037735849,0.16666666666666666
38,14.0,RUE,2.0,9,13.017241,2.362321,48.860159,0.0660377358490566,0.03333333333333333
39,6.0,RUE,1.0,38,11.35,2.359254,48.864902,0.14150943396226415,0.26666666666666666
40,6.0,RUE,1.0,38,12.663636,2.359254,48.864902,0.14150943396226415,0.26666666666666666
41,6.0,RUE,1.0,38,13.0,2.359254,48.864902,0.14150943396226415,0.26666666666666666
42,50.0,RUE,1.0,42,16.5,2.358333,48.859136,0.3584905660377358,0.5
43,12.0,RUE,7.0,20,10.572687,2.305218,48.879133,0.09433962264150944,0.16666666666666666
44,12.0,RUE,3.0,20,20.869565,2.305218,48.879133,0.09433962264150944,0.16666666666666666
45,32.0,RUE,1.0,48,14.444444,2.359112,48.863031,0.14150943396226415,0.26666666666666666
46,32.0,RUE,1.0,48,13.461538,2.359112,48.863031,0.14150943396226415,0.26666666666666666
47,18.0,RUE,2.0,21,13.245614,2.358702,48.864999,0.14150943396226415,0.26666666666666666
48,18.0,RUE,2.0,21,14.215686,2.358702,48.864999,0.14150943396226415,0.26666666666666666
49,11.0,RUE,7.0,14,12.857142,2.299369,48.874526,0.04716981132075472,0.1
50,11.0,RUE,7.0,14,10.95238,2.299369,48.874526,0.04716981132075472,0.1
51,11.0,RUE,5.0,18,13.172413,2.299369,48.874526,0.04716981132075472,0.1
52,11.0,RUE,1.0,14,11.481481,2.299369,48.874526,0.04716981132075472,0.1
53,11.0,RUE,3.0,18,12.5,2.299369,48.874526,0.04716981132075472,0.1
54,32.0,RUE,2.0,87,10.752,2.354692,48.862659,0.37735849056603776,0.4666666666666667
55,35.0,BD,1.0,48,7.6,2.322674,48.882349,0.11320754716981132,0.03333333333333333
56,35.0,BD,1.0,48,10.710526,2.322674,48.882349,0.11320754716981132,0.03333333333333333
57,118.0,RUE,5.0,17,13.69863,2.364789,48.863464,0.1792452830188679,0.13333333333333333
58,49.0,RUE,1.0,33,11.166666,2.357759,48.868116,0.33962264150943394,0.5333333333333333
59,49.0,RUE,4.0,33,13.111413,2.357759,48.868116,0.33962264150943394,0.5333333333333333
60,17.0,RUE,2.0,5,12.466666,2.3203,48.871482,0.07547169811320754,0.16666666666666666
61,29.0,RUE,4.0,77,10.052631,2.323502,48.881208,0.11320754716981132,0.03333333333333333
62,1.0,RUE,2.0,39,11.733333,2.345668,48.858158,0.02830188679245283,0.0
63,37.0,BD,1.0,47,8.428571,2.322511,48.882315,0.11320754716981132,0.03333333333333333
64,37.0,BD,3.0,47,13.884,2.322511,48.882315,0.11320754716981132,0.03333333333333333
65,35.0,RUE,5.0,103,13.47826,2.315096,48.876497,0.09433962264150944,0.13333333333333333
66,28.0,PL,2.0,104,12.195121,2.325858,48.870699,0.19811320754716982,0.4
67,1.0,RUE,6.0,79,10.561497,2.348175,48.860339,0.27358490566037735,0.36666666666666664
68,87.0,BD,5.0,47,12.413793,2.367475,48.858955,0.18867924528301888,0.2
69,16.0,RUE,2.0,81,12.444444,2.356084,48.862261,0.4339622641509434,0.6
70,17.0,RUE,2.0,75,11.111111,2.319647,48.87966,0.08490566037735849,0.16666666666666666
