,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux,periode_construction,Arrondissement,Quartier,score_jardin,score_monument,score_metro
0,17.0,RUE,3.0,14,10.678571,2.325456,48.868446,0.19811320754716982,0.4,4.0,1,4,1.3354187667992867,0.8483268235294118,0.19740746112922194
1,13.0,RUE,3.0,15,15.100865,2.363265,48.860077,0.0660377358490566,0.03333333333333333,4.0,3,11,5.0775587543576535,0.40222858823529417,0.10172338349767453
2,13.0,RUE,1.0,15,10.293939,2.363265,48.860077,0.0660377358490566,0.03333333333333333,4.0,3,11,5.0775587543576535,0.40222858823529417,0.10172338349767453
3,13.0,RUE,1.0,15,13.416666,2.363265,48.860077,0.0660377358490566,0.03333333333333333,4.0,3,11,5.0775587543576535,0.40222858823529417,0.10172338349767453
4,82.0,BD,3.0,21,11.946875,2.314034,48.879896,0.14150943396226415,0.16666666666666666,3.0,8,32,4.473393680842354,0.55,0.11458572075126493
5,82.0,BD,1.0,21,10.666666,2.314034,48.879896,0.14150943396226415,0.16666666666666666,3.0,8,32,4.473393680842354,0.55,0.11458572075126493
6,82.0,BD,2.0,21,12.950227,2.314034,48.879896,0.14150943396226415,0.16666666666666666,3.0,8,32,4.473393680842354,0.55,0.11458572075126493
7,4.0,CITE,2.0,72,11.262222,2.361982,48.86571,0.12264150943396226,0.1,3.0,3,10,5.463005169620447,0.5022285882352941,0.26428842916891515
8,79.0,RUE,3.0,60,10.29,2.317605,48.880039,0.49056603773584906,0.6666666666666666,2.0,8,32,2.371229000939928,0.55,0.7340267392894059
9,13.0,RUE,2.0,51,14.195121,2.365988,48.861078,0.11320754716981132,0.16666666666666666,4.0,3,11,3.504346162381057,0.35000000000000003,0.26621068100360384
10,13.0,RUE,3.0,51,13.4,2.365988,48.861078,0.11320754716981132,0.16666666666666666,4.0,3,11,3.504346162381057,0.35000000000000003,0.26621068100360384
11,13.0,RUE,4.0,51,10.886333,2.365988,48.861078,0.11320754716981132,0.16666666666666666,4.0,3,11,3.504346162381057,0.35000000000000003,0.26621068100360384
12,39.0,RUE,1.0,30,7.142857,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
13,39.0,RUE,1.0,30,13.571428,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
14,39.0,RUE,1.0,30,8.928571,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
15,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
16,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
17,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
18,39.0,RUE,1.0,30,9.285714,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
19,39.0,RUE,1.0,30,11.282142,2.305705,48.874096,0.07547169811320754,0.06666666666666667,4.0,8,30,4.786445397875583,0.5249726323529412,0.1493192107040378
20,67.0,BD,8.0,32,10.148076,2.301909,48.878708,0.09433962264150944,0.16666666666666666,3.0,8,30,2.232449296871376,0.5249726323529412,0.15682759325160095
21,67.0,BD,5.0,32,14.736842,2.301909,48.878708,0.09433962264150944,0.16666666666666666,3.0,8,30,2.232449296871376,0.5249726323529412,0.15682759325160095
22,24.0,RUE,2.0,33,29.327272,2.337038,48.865144,0.04716981132075472,0.06666666666666667,2.0,1,3,2.436386856742585,0.8,0.16427180075373027
23,24.0,RUE,6.0,33,22.55639,2.337038,48.865144,0.04716981132075472,0.06666666666666667,2.0,1,3,2.436386856742585,0.8,0.16427180075373027
24,24.0,RUE,6.0,33,26.315808,2.337038,48.865144,0.04716981132075472,0.06666666666666667,2.0,1,3,2.436386856742585,0.8,0.16427180075373027
25,56.0,RUE,1.0,63,11.0,2.337399,48.866547,0.2358490566037736,0.26666666666666666,2.0,1,3,5.245208863095492,0.8,0.16427180075373027
26,56.0,RUE,2.0,63,17.136363,2.337399,48.866547,0.2358490566037736,0.26666666666666666,2.0,1,3,5.245208863095492,0.8,0.16427180075373027
27,56.0,RUE,1.0,63,16.391304,2.337399,48.866547,0.2358490566037736,0.26666666666666666,2.0,1,3,5.245208863095492,0.8,0.16427180075373027
28,170.0,RUE,1.0,110,10.714285,2.361764,48.866457,0.12264150943396226,0.1,2.0,3,10,3.861979364084549,0.5022285882352941,0.32452239159628365
29,170.0,RUE,2.0,110,12.540983,2.361764,48.866457,0.12264150943396226,0.1,2.0,3,10,3.861979364084549,0.5022285882352941,0.32452239159628365
30,170.0,RUE,3.0,110,10.666666,2.361764,48.866457,0.12264150943396226,0.1,2.0,3,10,3.861979364084549,0.5022285882352941,0.32452239159628365
31,170.0,RUE,4.0,110,11.516947,2.361764,48.866457,0.12264150943396226,0.1,2.0,3,10,3.861979364084549,0.5022285882352941,0.32452239159628365
32,170.0,RUE,3.0,110,11.584285,2.361764,48.866457,0.12264150943396226,0.1,2.0,3,10,3.861979364084549,0.5022285882352941,0.32452239159628365
33,26.0,RUE,3.0,7,10.032,2.345559,48.864215,0.25471698113207547,0.23333333333333334,3.0,1,2,5.985586842856997,0.7500000000000001,0.2513686081253898
34,26.0,RUE,2.0,7,5.454545,2.345559,48.864215,0.25471698113207547,0.23333333333333334,3.0,1,2,5.985586842856997,0.7500000000000001,0.2513686081253898
35,11.0,BD,1.0,53,9.538461,2.325825,48.882989,0.20754716981132076,0.16666666666666666,3.0,8,32,2.85112433074834,0.35000000000000003,0.1568287938450774
36,14.0,RUE,4.0,66,10.25641,2.320487,48.879478,0.08490566037735849,0.16666666666666666,3.0,8,32,1.8915342578397196,0.5,0.7403546412343165
37,14.0,RUE,2.0,9,13.017241,2.362321,48.860159,0.0660377358490566,0.03333333333333333,3.0,3,11,19.28257673036616,0.4522285882352942,0.10172338349767453
38,6.0,RUE,1.0,38,11.35,2.359254,48.864902,0.14150943396226415,0.26666666666666666,3.0,3,9,11.272589671663141,0.5022285882352941,0.27530631460938065
39,6.0,RUE,1.0,38,12.663636,2.359254,48.864902,0.14150943396226415,0.26666666666666666,3.0,3,9,11.272589671663141,0.5022285882352941,0.27530631460938065
40,6.0,RUE,1.0,38,13.0,2.359254,48.864902,0.14150943396226415,0.26666666666666666,3.0,3,9,11.272589671663141,0.5022285882352941,0.27530631460938065
41,50.0,RUE,1.0,42,16.5,2.358333,48.859136,0.3584905660377358,0.5,2.0,3,11,17.376114601102277,0.6000000000000001,0.1925229932226694
42,12.0,RUE,7.0,20,10.572687,2.305218,48.879133,0.09433962264150944,0.16666666666666666,2.0,8,32,15.249414689002403,0.5249726323529412,0.06208196518145954
43,12.0,RUE,3.0,20,20.869565,2.305218,48.879133,0.09433962264150944,0.16666666666666666,2.0,8,32,15.249414689002403,0.5249726323529412,0.06208196518145954
44,32.0,RUE,1.0,48,14.444444,2.359112,48.863031,0.14150943396226415,0.26666666666666666,3.0,3,10,4.173428873813199,0.5022285882352941,0.2596179132770269
