Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
1;Métro;GARE DU NORD;51141374;4;5;;;;Paris;10
2;Métro;SAINT-LAZARE;46923920;3;9;12;13;14;Paris;8
3;Métro;GARE DE LYON;36512570;1;14;A;;;Paris;12
8;Métro;LA DEFENSE;16213921;1;;;;;Puteaux;
13;Métro;BELLEVILLE;10735544;2;11;;;;Paris;10
16;Métro;GARE D'AUSTERLITZ;9887549;5;10;;;;Paris;13
23;Métro;MADELEINE;8473016;8;12;14;;;Paris;8
27;Métro;MAIRIE DE MONTREUIL;8106589;9;;;;;Montreuil;
38;Métro;VILLEJUIF-LOUIS ARAGON;7198931;7;;;;;Villejuif;
44;Métro;GRANDS BOULEVARDS;6807424;8;9;;;;Paris;9
50;Métro;CHATEAU DE VINCENNES;6353285;1;;;;;Vincennes;
51;Métro;MAIRIE DE CLICHY;6342058;13;;;;;Clichy;
58;Métro;CONCORDE;6115023;1;8;12;;;Paris;8
72;Métro;GALLIENI;5595343;3;;;;;Bagnolet;
82;Métro;GABRIEL PERI;4998394;13;;;;;Asnières;
86;Métro;DAUMESNIL;4954004;6;8;;;;Paris;12
92;Métro;PORTE DE VANVES;4660158;13;;;;;Paris;14
95;Métro;COLONEL FABIEN;4511921;2;;;;;Paris;10
118;Métro;GUY MOQUET;4004960;13;;;;;Paris;17
122;Métro;BLANCHE;3893362;2;;;;;Paris;9
130;Métro;LEDRU-ROLLIN;3777270;8;;;;;Paris;12
133;Métro;BERAULT;3656859;1;;;;;Vincennes;
143;Métro;PORTE DES LILAS;3439385;3bis;11;;;;Paris;20
149;Métro;CENSIER-DAUBENTON;3385284;7;;;;;Paris;6
151;Métro;MARX DORMOY;3359946;12;;;;;Paris;18
153;Métro;TERNES;3329214;2;;;;;Paris;17
171;Métro;FAIDHERBE-CHALIGNY;3032239;8;;;;;Paris;12
175;Métro;CHARENTON-ECOLES;2984929;8;;;;;Charenton;
176;Métro;BROCHANT;2984525;13;;;;;Paris;17
179;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2951030;5;;;;;Pantin;
180;Métro;PORTE DAUPHINE;2932159;2;;;;;Paris;16
184;Métro;COURONNES;2897777;2;;;;;Paris;11
189;Métro;PLACE MONGE;2828772;7;;;;;Paris;6
197;Métro;IENA;2646049;9;;;;;Paris;16
199;Métro;TUILERIES;2614837;1;;;;;Paris;1
216;Métro;WAGRAM;2386255;3;;;;;Paris;17
218;Métro;SIMPLON;2366858;4;;;;;Paris;18
220;Métro;VOLONTAIRES;2362771;12;;;;;Paris;15
221;Métro;ABBESSES;2349588;12;;;;;Paris;18
228;Métro;SAINT-SULPICE;2287634;4;;;;;Paris;6
232;Métro;MICHEL-ANGE-MOLITOR;2247014;9;10;;;;Paris;16
241;Métro;SOLFERINO;2073832;12;;;;;Paris;7
245;Métro;VAVIN;2021987;4;;;;;Paris;14
248;Métro;SAINT-JACQUES;1954772;6;;;;;Paris;13
250;Métro;JASMIN;1935764;9;;;;;Paris;16
252;Métro;MICHEL BIZOT;1906545;8;;;;;Paris;12
258;Métro;TELEGRAPHE;1823734;11;;;;;Paris;20
260;Métro;BREGUET-SABIN;1791352;5;;;;;Paris;11
268;Métro;SAINT-SEBASTIEN-FROISSART;1685816;8;;;;;Paris;3
277;Métro;PONT NEUF;1546517;7;;;;;Paris;4
281;Métro;AVENUE EMILE ZOLA;1479759;10;;;;;Paris;15
287;Métro;TEMPLE;1194283;3;;;;;Paris;2
301;Métro;PRE-SAINT-GERVAIS;386948;7bis;;;;;Paris;19
8;RER;MASSY-PALAISEAU;9141486;B;;;;;Massy;
14;RER;ANTONY;6304424;B;;;;;Antony;
22;RER;VAL D'EUROPE;4656709;A;;;;;Serris;
25;RER;TORCY;4223220;A;;;;;Torcy;
41;RER;BRY-SUR-MARNE;2450013;A;;;;;Bry-sur-Marne;
42;RER;ORSAY-VILLE;2434752;B;;;;;Orsay;
45;RER;BAGNEUX;2241461;B;;;;;Cachan;
47;RER;ROBINSON;2158769;B;;;;;Sceaux;
48;RER;LE VESINET-LE PECQ;2147193;A;;;;;Le Vésinet;
49;RER;LA VARENNE-CHENNEVIERES;1985568;A;;;;;saint-Maur des Fossés;
51;RER;LOGNES;1680012;A;;;;;Lognes;
53;RER;FONTENAY-AUX-ROSES;1211339;B;;;;;Fontenay aux roses;
60;RER;FONTAINE-MICHALON;731635;B;;;;;Antony;
62;RER;BURES-SUR-YVETTE;653313;B;;;;;Bures sur Yvette;
63;RER;MASSY-VERRIERES;607314;B;;;;;Massy;
66;RER;LA HACQUINIERE;419294;B;;;;;Bures sur Yvette;
11;Métro;HOTEL DE VILLE;12307363;1;11;;;;Paris;4
17;Métro;ESPLANADE DE LA DEFENSE;9883008;1;;;;;Puteaux;
19;Métro;FRANKLIN D. ROOSEVELT;9545487;1;9;;;;Paris;8
22;Métro;NATION;8834660;1;2;6;9;;Paris;12
28;Métro;PLACE CLICHY;8020440;2;13;;;;Paris;17
35;Métro;CHATEAU ROUGE;7306788;4;;;;;Paris;18
37;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7215915;7;;;;;Aubervilliers;
40;Métro;BIR-HAKEIM;6903648;6;;;;;Paris;15
43;Métro;MAIRIE DE MONTROUGE;6849601;4;;;;;Montrouge;
60;Métro;COUR SAINT-EMILION;6043808;14;;;;;Paris;12
66;Métro;VILLIERS;5667552;2;3;;;;Paris;17
80;Métro;SEVRES-BABYLONE;5037509;10;12;;;;Paris;7
81;Métro;RICHELIEU-DROUOT;5014491;8;9;;;;Paris;9
87;Métro;PLAISANCE;4784211;13;;;;;Paris;14
88;Métro;SAINT-DENIS-UNIVERSITE;4770181;13;;;;;Saint Denis;
91;Métro;CRETEIL-PREFECTURE;4663191;8;;;;;Créteil;
94;Métro;BONNE NOUVELLE;4583027;8;9;;;;Paris;10
96;Métro;GLACIERE;4498939;6;;;;;Paris;13
97;Métro;PORTE DE CLICHY;4495978;13;;;;;Paris;17
100;Métro;PEREIRE;4446732;3;;;;;Paris;17
119;Métro;LA MUETTE;3991922;9;;;;;Paris;16
120;Métro;MENILMONTANT;3943809;2;;;;;Paris;11
123;Métro;FORT D'AUBERVILLIERS;3889085;7;;;;;Aubervilliers;
126;Métro;SAINT-GERMAIN DES PRES;3866889;4;;;;;Paris;6
127;Métro;EGLISE DE PANTIN;3843796;5;;;;;Pantin;
128;Métro;VICTOR HUGO;3841033;2;;;;;Paris;16
138;Métro;ANATOLE FRANCE;3533091;3;;;;;Levallois-Perret;
139;Métro;POISSONNIERE;3466034;7;;;;;Paris;10
141;Métro;VAUGIRARD;3445009;12;;;;;Paris;15
152;Métro;GARIBALDI;3330349;13;;;;;Saint Ouen;
164;Métro;PARMENTIER;3103492;3;;;;;Paris;11
166;Métro;MAIRIE D'IVRY;3074561;7;;;;;Ivry;
167;Métro;SAINT-AUGUSTIN;3052723;9;;;;;Paris;8
168;Métro;PERNETY;3050541;13;;;;;Paris;14
170;Métro;QUAI DE LA GARE;3033927;6;;;;;Paris;13
181;Métro;SAINT-MAUR;2924501;3;;;;;Paris;11
183;Métro;PYRENEES;2920049;11;;;;;Paris;20
193;Métro;ROME;2753714;2;;;;;Paris;17
194;Métro;GAITE;2713799;13;;;;;Paris;14
195;Métro;LAMARCK-CAULAINCOURT;2704202;12;;;;;Paris;18
200;Métro;MARAICHERS;2608017;9;;;;;Paris;20
202;Métro;RUE DES BOULETS;2583609;9;;;;;Paris;11
203;Métro;DUGOMMIER;2579556;6;;;;;Paris;12
204;Métro;LA FOURCHE;2563103;13;;;;;Paris;8
205;Métro;COURCELLES;2557929;2;;;;;Paris;17
209;Métro;NATIONALE;2497964;6;;;;;Paris;13
210;Métro;JACQUES BONSERGENT;2477876;5;;;;;Paris;10
217;Métro;PORTE DE LA CHAPELLE;2379751;12;;;;;Paris;18
222;Métro;MAISONS-ALFORT-STADE;2330375;8;;;;;Maisons -Alfort;
224;Métro;RIQUET;2312581;7;;;;;Paris;19
233;Métro;CLUNY LA SORBONNE;2232036;10;;;;;Paris;5
234;Métro;MAUBERT-MUTUALITE;2226690;10;;;;;Paris;5
235;Métro;GONCOURT;2192190;11;;;;;Paris;11
238;Métro;SAINT-MARCEL;2131369;5;;;;;Paris;13
249;Métro;BUZENVAL;1941769;9;;;;;Paris;20
261;Métro;MAISONS-ALFORT-LES JUILLIOTTES;1779627;8;;;;;Maisons -Alfort;
262;Métro;PHILIPPE AUGUSTE;1763562;2;;;;;Paris;11
264;Métro;FELIX FAURE;1744774;8;;;;;Paris;15
270;Métro;SEGUR;1669348;10;;;;;Paris;15
272;Métro;LIEGE;1662452;13;;;;;Paris;8
273;Métro;EUROPE;1618088;3;;;;;Paris;8
276;Métro;MOUTON-DUVERNET;1583761;4;;;;;Paris;14
278;Métro;PIERRE CURIE;1535768;7;;;;;Ivry;
283;Métro;CAMPO-FORMIO;1335450;5;;;;;Paris;13
290;Métro;SAINT-GEORGES;1135274;12;;;;;Paris;9
298;Métro;DANUBE;547896;7bis;;;;;Paris;19
2;RER;GARE DE LYON-RER;37526415;A;;;;;Paris;12
5;RER;NANTERRE-PREFECTURE;26179183;A;;;;;Nanterre;
6;RER;VAL DE FONTENAY;14295323;A;;;;;Fontenay-sous-Bois;
7;RER;CHARLES DE GAULLE-ETOILE-RER;9385991;A;;;;;Paris;17
12;RER;RUEIL-MALMAISON;7275192;A;;;;;Rueil-Malmaison;
17;RER;MARNE-LA-VALLEE-CHESSY;6091127;A;;;;;Montévrain;
19;RER;NOISY-CHAMPS;5614935;A;;;;;Champs-sur-Marne;
28;RER;JOINVILLE-LE-PONT;4017431;A;;;;;Joinville-le-Pont;
32;RER;CHAMPIGNY;3588881;A;;;;;Saint-Maur des Fossés;
40;RER;SUCY-BONNEUIL;2602931;A;;;;;Sucy-en-Brie;
44;RER;CHATOU-CROISSY;2332806;A;;;;;Chatou;
50;RER;LES BACONNETS;1860108;B;;;;;Antony;
57;RER;LE GUICHET;842064;B;;;;;Orsay;
5;Métro;GARE DE L'EST;22443106;4;5;7;;;Paris;10
9;Métro;LES HALLES;16069170;4;;;;;Paris;1
14;Métro;PLACE D'ITALIE;10577276;5;6;7;;;Paris;13
21;Métro;TROCADERO;9327124;6;9;;;;Paris;16
29;Métro;BARBES-ROCHECHOUART;7974496;2;4;;;;Paris;18
30;Métro;LA MOTTE-PICQUET-GRENELLE;7958383;6;8;10;;;Paris;15
32;Métro;BOBIGNY-PABLO PICASSO;7879929;5;;;;;Bobigny;
34;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7312371;7;9;;;;Paris;9
39;Métro;CHATILLON-MONTROUGE;7196503;13;;;;;Chatillon;
41;Métro;PONT DE NEUILLY;6902027;1;;;;;Neuilly Sur Seine;
45;Métro;GAMBETTA;6798910;3;3bis;;;;Paris;20
47;Métro;INVALIDES;6540934;8;13;;;;Paris;7
49;Métro;SAINT-PAUL;6502842;1;;;;;Paris;4
63;Métro;LA COURNEUVE-8 MAI 1945;5886507;7;;;;;La Courneuve;
67;Métro;ANVERS;5643147;2;;;;;Paris;18
68;Métro;BALARD;5626040;8;;;;;Paris;15
74;Métro;CRIMEE;5431969;7;;;;;Paris;19
83;Métro;HOCHE;4995902;5;;;;;Pantin;
85;Métro;CROIX DE CHAVAUX;4954717;9;;;;;Montreuil;
90;Métro;PERE LACHAISE;4724592;2;3;;;;Paris;20
93;Métro;CHARLES MICHELS;4601730;10;;;;;Paris;15
99;Métro;ECOLE MILITAIRE;4468169;8;;;;;Paris;7
102;Métro;OBERKAMPF;4416955;5;9;;;;Paris;11
106;Métro;LAUMIERE;4325317;5;;;;;Paris;19
107;Métro;MAIRIE DE SAINT-OUEN;4314548;13;;;;;Saint Ouen;
110;Métro;PORTE DE LA VILLETTE;4159555;7;;;;;Paris;19
115;Métro;PORTE DE BAGNOLET;4020800;3;;;;;Paris;20
132;Métro;PORTE DE SAINT-OUEN;3761155;13;;;;;Paris;17
136;Métro;LOUISE MICHEL;3546360;3;;;;;Levallois-Perret;
142;Métro;ALEXANDRE DUMAS;3439879;2;;;;;Paris;11
155;Métro;DUPLEIX;3221871;6;;;;;Paris;15
161;Métro;PASSY;3187985;6;;;;;Paris;16
169;Métro;CADET;3042484;7;;;;;Paris;9
177;Métro;SAINT-AMBROISE;2977955;9;;;;;Paris;11
